标题,朝代,作者,体裁,内容
﻿山中寒食,金,元好问,七言律诗,小雨班班浥曙烟，平林簇簇点晴川。清明寒食连三月，颍水崧山又一年。乐事渐随花共减，归心长与雁相先。平生最有登临兴，百感中来只慨然。
﻿楚汉战处,金,元好问,七言律诗,虎掷龙挐不两存，当年曾此赌乾坤。一时豪杰多行阵，万古山河自壁门。原野犹应厌膏血，风云长遣动心魂。成名竖子知谁谓？拟唤狂生与细论。
﻿后湾别业,金,元好问,七言律诗,薄云晴日烂烘春，高柳清风便可人。一饱本无华屋念，百年今见老农身。童童翠盖桑初合，滟滟苍波麦已匀。便与溪塘作盟约，不应重遣濯缨尘。
﻿寄钦用,金,元好问,七言律诗,憔悴京华苜蓿盘，南山归兴夜漫漫。长门有赋人谁买？坐榻无毡客亦寒。虫臂偶然烦造物，獐头何者亦求官。故人东望应相笑，世路羊肠乃尔难。
﻿内乡县斋书事,金,元好问,七言律诗,吏散公庭夜已分，寸心牢落百忧熏。催科无政堪书考，出粟何人与佐军。饥鼠绕床如欲语，惊乌啼月不堪闻。扁舟未得沧浪去，惭愧舂陵老使君。
﻿被檄夜赴邓州幕府,金,元好问,七言律诗,幕府文书鸟羽轻，敝裘羸马月三更。未能免俗私自笑，岂不怀归官有程。十里陂塘春鸭闹，一川桑柘晚烟平。此生只合田间老，谁遣春官识姓名。
﻿除夜,金,元好问,七言律诗,一灯明暗夜如何，梦寐衡门在涧阿。物外烟霞玉华远，花时车马洛阳多。折腰真有陶潜兴，扣角空传宁戚歌。三十七年今日过，可怜出处两蹉跎。
﻿刘光甫内乡新居,金,元好问,七言律诗,廌冠平日凛秋霜，老去声名只闭藏。父老渐来同保社，儿童久已爱文章。蔬随隙地皆成圃，竹放新梢欲过墙。为向长安旧游道，世间元有北窗凉。
﻿西斋夜宴,金,元好问,七言律诗,飘零无物慰天涯，酒伴相逢饮倍加。误谬君当略彭泽，回旋我亦笑长沙。金钗翠亸迎春髻，银烛光摇半夜花。只欠东山游录事，不来坚坐看纷哗。
﻿出山,金,元好问,七言律诗,松门石径静无关，布袜青鞋几往还。少日漫思为世用，中年直欲伴僧闲。尘埃长路仍回首，升斗微官亦强颜。休道西山不留客，数峰如画暮云间。
﻿石门,金,元好问,七言律诗,两崖悬绝倚山垠，草径低迷劣可分。潭影乍从明处见，竹香偏向静中闻。石林万古不知暑，茅屋四邻惟有云。曳杖行歌羡樵叟，此生何计得随君。
﻿雨后丹凤门登眺,金,元好问,七言律诗,绛阙遥天霁景开，金明高树晚风回。长虹下饮海欲竭，老雁叫云秋更哀。劫火有时归变灭，神嵩何计得飞来。穷途自觉无多泪，莫傍残阳望吹台。
﻿怀秋林别业,金,元好问,七言律诗,茅屋萧萧淅水滨，岂知身属洛阳尘。一家风雪何年尽，二顷田园入梦频。高树有巢鸠笑拙，空墙无穴鼠嫌贫。西南遥望肠堪断，自古虚名只误人。
﻿岐阳三首 其一 ,金,元好问,七言律诗,突骑连营鸟不飞，北风浩浩发阴机。三秦形胜无今古，千里传闻果是非。偃蹇鲸鲵人海涸，分明蛇犬铁山围。穷途老阮无奇策，空望岐阳泪满衣。
﻿岐阳三首 其二 ,金,元好问,七言律诗,百二关河草木横，十年戎马暗秦京。岐阳西望无来信，陇水东流闻哭声。野蔓有情萦战骨，残阳何意照空城。从谁细向苍苍问，争遣蚩尤作五兵。
