标题,朝代,作者,体裁,内容
﻿送德温同舍赴帘试,金,元德明,古风,太常侍祠水苍佩，内相夜下金莲烛。皇家结网未曾疏，亦有佳人在空谷。一从唐赋变辽律，仰视折杨犹雅曲。云台勋业一青衫，被发操戈踵相属。筋疲力涸仅乃得，墨水一升凡几辱。英雄俛首入彀中，举世悉然非子独。子家口众亲又老，岁月旨甘须寸禄。荐书闻说过南宫，冷暖人情到僮仆。我初与子偕计吏，人后人前随碌碌。不惭齐客售鼓瑟，颇为荆人悲献玉。一诗今日送君行，万里秋风看鸿鹄。功名前路知不免，鸡黍后期良未卜。锦标无用咤龙头，帛书且当传雁足。
﻿榴华,金,元德明,古风,山茶赤黄桃绛白，戎葵米囊不入格。庭中忽见安石榴，叹息花中有真色。生红一撮掌中看，模写虽工更觉难。诗到黄州隔千里，画家辛苦费铅丹。
﻿家园假山,金,元德明,古风,八尺飞来峰，苍然立于独。细看甲乙字，疑是平泉族。山非一草石，见石山亦足。便恐东岫云，来我檐下宿。今朝凿盆池，明朝种松菊。自笑住山人，何时返岩谷。
﻿同侯子晋赋雁,金,元德明,古风,沈沈江浦云，浩浩朔漠雪。微生几寒暑，翅老飞欲折。楼中见新过，夕照送明灭。欹枕数声来，疏窗耿残月。悲鸣或天性，南北随所惬。谁念孤旅人，年年为愁绝。
﻿寒林图为侯子晋赋,金,元德明,古风,川光茫茫风景暮，一雪无情天地素。长安闭门千万家，亦有行人踏长路。新丰烟火灞桥水，画史工作荒寒趣。雪中故事知几何，偏识诗翁忍寒处。君不见淮西城下鹅鹳鸣，官军夜斫吴家营。只如党家粗俗亦不恶，银烛金荷天未明。拈出雪诗三十韵，蹇驴席帽可怜生。
﻿赠答彦文相过之什,金,元德明,古风,剥啄谁叩门，开门得吾友。握手一大笑，慰我离群久。之子富才具，事业可力取。瞻望青松姿，衰迟愧蒲柳。金闺满鸳鹭，什伯自为偶。寂莫林野人，过从但邻叟。盘餐无兼味，笋蕨才适口。穷达俱偶然，相逢且杯酒。
﻿枕上,金,元德明,古风,往时见白发，谈笑轻岁月。谁谓明镜里，萧萧不胜镊。山林蹉跎久，世虑初未绝。触物重兴怀，忽忽不自惬。遭逢有奇耦，才用随巧拙。如何杜陵叟，自比稷与契。茫茫拊尘编，何时卒吾业。
﻿谢张使君梦弼馈春肉,金,元德明,古风,牙猪肋厚一尺玉，盐花入深蒸脱骨。韭芽蓼甲春满盘，走送茅斋慰幽独。山人食贫才一粥，几被艾生嘲苜蓿。食前方丈非素怀，颇忆悬貆绕高屋。呼来邻叟共一饱，为说使君方继肉。饥民待哺今几家，无策赞君惭此腹。区区一肉见歌咏，说食书生良未足。却愁今夕梦寐间，有物踏破园蔬绿。
﻿仙鸡诗,金,元德明,古风,老雄健斗夸擅场，韩郎抱归神色扬。岂知黠儿出徼倖，毒手一发不得妨。毳毛散洒尚可养，利嘴一哆何由张。青囊道人何许来，自言救药吾有方。垂髯噀水濯残血，半喙随手生新黄。筠笼半开闻腷膊，草冠已往徒惊忙。神仙世有宁虚荒，惜哉诡激不可量。世人鸷勇天且劓，况于物也资强梁。敷荣枯蘖变金石，未若与世针膏肓。何须变化示狡狯，知君办作淮南王。蓬莱东望云茫茫，爱而不见心为狂。刀圭不愿换凡骨，且欲共醉无何乡。
﻿从赵敷道觅石榴,金,元德明,古风,仙人囊中五色露，得种昔与蒲桃俱。猩猩染花开五月，已觉秋实悬庭除。张园一酸齿欲裂，君家两株蜜不如。竹马儿童厌梨栗，绿囊聊为剥红珠。
﻿好事近 次蔡丞相韵首倡,金,元德明,词,梦破打门声，有客袖携团月。唤起玉川高兴，煮松檐晴雪。蓬莱千古一清风，人境两超绝。觉我胸中黄卷，被春云香彻。
﻿六言,金,元德明,六言诗,北阙三台五省，东山万壑千岩。琴书中有真味，风月外无多谈。
﻿红梅,金,元日能,七言绝句,天上琼儿白玉肌，吴妆略约更相宜。认桃辨杏由君眼，自有溪风山月知。
﻿老树,金,元好问,五言律诗,老树高留叶，寒藤细作花。沙平时泊雁，野迥已攒鸦。旋食秋看尽，行吟日又斜。干戈正飘忽，不用苦思家。
﻿阳翟道中,金,元好问,五言律诗,长路伶俜里，羁怀苍莽中。千山分晚照，万籁入秋风。频见参旗缩，虚传朔幕空。故园归未得，细问北来鸿。
﻿太室同希颜赋,金,元好问,五言律诗,壮矣崧维岳，盘盘上窈冥。中天瞻巨镇，元气有遗形。雨入秦川黑，云开楚岫青。鳌掀一柱在，万古压坤灵。
﻿送登封张令西上,金,元好问,五言律诗,罢县人称屈，悠悠复此行。渭城秋雁到，秦岭暮云平。道路衣从典，风尘剑已鸣。山西多侠客，莫说是书生。
﻿送曹吉甫兼及通甫,金,元好问,五言律诗,意气羡君豪，怜君屈骑曹。安能事笔砚，且复混弓刀。风雪貂裘暗，关山马骨高。南飞见鸿雁，应为惜哀劳。
﻿胜概,金,元好问,五言律诗,胜概烟尘外，新诗杖屦间。偶随流水去，澹与暮云还。吾道三缄口，时情一解颜。从今便高卧，已负半生閒。
﻿少室南原,金,元好问,五言律诗,地僻人烟断，山深鸟语哗。清溪鸣石齿，暖日长藤芽。绿映高低树，红迷远近花。林间见鸡犬，直拟是仙家。
﻿落魄,金,元好问,五言律诗,落魄宜多病，艰危更百忧。雨声孤馆夜，草色故园秋。行役鱼赪尾，归期乌白头。中州遂南北，残息付悠悠。
﻿长寿新居,金,元好问,五言律诗,地古村墟迥，川回县郭斜。蒲池馀老节，菊水引新芽。卜筑欣成趣，归耕觉有涯。迎门顾儿女，今日是山家。
﻿短日,金,元好问,五言律诗,短日砧声急，重云雁影深。风霜侵晚节，天地入归心。零落沟中断，酸嘶爨下音。五年朝与夕，清血几沾襟。
﻿送杨次公兼简秦彦容李天成,金,元好问,五言律诗,海国山如染，云堆草易荒。时危频虎穴，路绝更羊肠。吊影双蓬鬓，携家一药囊。殷勤秦与李，无惜借馀光。
﻿十二月六日二首 其一 ,金,元好问,五言律诗,伥鬼跳梁久，群雄结构牢。天机不可料，世网若为逃。白骨丁男尽，黄金甲第高。阊门隔九虎，休续楚臣骚。
﻿十二月六日二首 其二 ,金,元好问,五言律诗,海内兵犹满，天涯岁又新。龙移失鱼鳖，日食斗麒麟。草棘荒山雪，烟花故国春。聊城今夜月，愁绝未归人。
﻿倪庄中秋,金,元好问,五言律诗,强饭日逾瘦，裌衣秋已寒。儿童漫相忆，行路岂知难。露气入茅屋，溪声喧石滩。山中夜来月，到晓不曾看。
﻿阳兴砦,金,元好问,五言律诗,乱石通樵径，重冈拥戍城。山川带淳朴，鸡犬见升平。雨烂沙仍软，秋偏气自清。年年避营马，几向此中行。
﻿聚仙台夜饮,金,元好问,五言律诗,永夜留欢席，高怀远市尘。月凉衣有露，风细酒生鳞。乡社情亲旧，仙台姓字新。殷勤诗卷在，长记坐中人。
﻿九月晦日王村道中,金,元好问,五言律诗,水涸沙仍湿，霜馀草更幽。烟光藏落景，山骨露清秋。坐食知何益，行吟只自愁。随阳见鸿雁，三叹惜淹留。
﻿十月四日往关南,金,元好问,五言律诗,行路见新月，独行还独谣。劳生尘衮衮，晚色鬓萧萧。野旷无遗穗，林疏有堕樵。回头麦山岭，更觉马蹄遥。
﻿和仲梁,金,元好问,五言律诗,林影兼秋薄，云阴带晚凉。石潭鱼近藻，沙渚雁留霜。笑语无长路，登临岂异乡。一尊堪共醉，惜不是重阳。
﻿感事,金,元好问,五言律诗,壮事本无取，老谋何所成？人皆传已死，吾亦厌馀生。潦倒封侯骨，淹留混俗情。百年堪一笑，辛苦惜虚名。
﻿同冀文明秀山行,金,元好问,五言律诗,暮景披横幅，山间二老同。云如愁戍苦，雪亦笑诗穷。古木冻欲折，断崖行复通。从今胡谷梦，时到水声中。
﻿庚子三月十日作,金,元好问,五言律诗,残梦忘书帙，馀寒殢酒杯。青铜元懒照，白纻更宽裁。水际时独往，花边知几回。殷勤双语燕，应自谢家来。
﻿八月并州雁,金,元好问,五言律诗,八月并州雁，清汾照旅群。一声惊晚笛，数点入秋云。灭没楼中见，哀劳枕畔闻。南来还北去，无计得随君。
﻿甲寅十二月四日出镇阳寄宰鲁伯,金,元好问,五言律诗,滹水晓光动，灞桥诗境同。冲寒骑瘦马，认影识衰翁。长路风声里，孤城雪意中。回头歌笑处，凄绝意何穷。
﻿乙卯十一月往镇州,金,元好问,五言律诗,村静鸟声乐，山低雁影遥。野阴时滉朗，冷雨只飘萧。涉远心先倦，冲寒酒易消。红尘忘南北，渺渺见长桥。
