标题,朝代,作者,体裁,内容
阅家书,隋,王绩,五言排律,张氏前钞本，班家旧赐馀。尚应千许帙，何啻五盈车。缝悉龟文印，题皆龙爪书。牙签过半在，玉轴已全疏。蘖系防黏蠹，芸香辟纸鱼。下帷堪发愤，闭户足为储。为向扬雄说，无劳羡石渠。
游山寺,隋,王绩,五言排律,赤城仙观启，青山梵宇裁。中天疏宝座，半景出香台。雁翼金桥转，鱼鳞石道回。经文连树刻，仙影对岩开。别有迷方者，终惭无碍才。抠衣祇杖锡，敛袂谒浮杯。暂识𡺸阇岭，联询劫烬灰。持花龙女至，献果象王来。讲坐真乘阐，谈筵外法催。方希除八难，从此涤三灾。
久客斋府病归言志,隋,王绩,五言排律,君王邸茅宽，修行正檀栾。构山临下杜，穿渠入上兰。天人多晏喜，宾寀盛鹓鸾。玉舄镇花簟，金环□果盘。斗鸡新市望，走马章台看。别有恩光重，恒嗟报答难。沉绵赴漳浦，羁旅别长安。玄渚芦花白，黄山梨叶丹。故人傥相念，应知归路寒。
田家三首 其二 ,隋,王绩,五言排律,阮籍生涯懒，嵇康意气疏。相逢一醉饱，独坐数行书。小池聊养鹤，闲田且牧猪。草生元亮径，花暗子云居。倚床看妇织，登垄课儿锄。回头寻仙事，并是一空虚。评注（点击查看或隐藏评注）
晚年叙志示翟处士,隋,王绩,五言排律,弱龄慕奇调，无事不兼修。望气登重阁，占星上小楼。明经思待诏，学剑觅封侯。弃繻频北上，怀刺几西游。中年逢丧乱，非复昔追求。失路青门隐，藏名白社游。风云私所爱，屠博暗为俦。解纷曾霸越，释难颇存周。晚岁聊长想，生涯太若浮。归来南亩上，更坐北溪头。古岸多磐石，春泉足细流。东隅诚已谢，西景惧难收。无谓退耕近，伏念已经秋。庚桑逢处跪，陶潜见人羞。三晨宁举火，五月镇披裘。自有居常乐，谁知身世忧。
在京思故园见乡人问,隋,王绩,五言排律,旅泊多年岁，老去不知回。忽逢门前客，道发故乡来。敛眉俱握手，破涕共衔杯。殷勤访朋旧，屈曲问童孩。衰宗多弟侄，若个赏池台。旧园今在否，新树也应栽。柳行疏密布，茅斋宽窄裁。经移何处竹？别种几株梅。渠当无绝水，石计总生苔。院果谁先熟，林花那后开。羁心祗欲问，为报不须猜。行当驱下泽，去剪故园莱。
游仙四首 其一 ,隋,王绩,五言排律,暂出东陂路，过访北岩前。蔡经新学道，王烈旧成仙。驾鹤来无日，乘龙去几年。三山银作地，八洞玉为天。金精飞欲尽，石髓溜应坚。自悲生世促，无暇待桑田。
游仙四首 其二 ,隋,王绩,五言排律,上月芝兰径，中岩紫翠房。金壶新练乳，玉釜始煎香。六局黄公术，三门赤帝方。吹沙聊作鸟，动石试为羊。缑氏还程促，瀛洲会日长。谁知北岩下，延首咏霓裳。
游仙四首 其三 ,隋,王绩,五言排律,结衣寻野路，负杖入山门。道士言无宅，仙人更有村。斜溪横桂渚，小径入桃源。玉床尘稍冷，金炉火尚温。心疑游北极，望似陟西昆。逆愁归旧里，萧条访子孙。
游仙四首 其四 ,隋,王绩,五言排律,真经知那是，仙骨定何为。许迈心长切，嵇康命似奇。桑疏金阙迥，苔重石梁危。照水然犀角，游山费虎皮。鸭桃闻已种，龙竹未经骑。为向天仙道，栖遑君讵知。
策杖寻隐士,隋,王绩,五言排律,策杖寻隐士，行行路渐赊。石梁横涧断，土室映山斜。孝然纵有舍，威辇遂无家。置酒烧枯叶，披书坐落花。新垂滋水钓，旧结茂陵罝。岁岁长如此，方知轻世华。
赠学仙者,隋,王绩,五言排律,采药层城远，寻师海路赊。玉壶横日月，金阙断烟霞。仙人何处在？道士未还家。谁知彭泽意，更觅步兵那。春酿煎松叶，秋杯浸菊花。相逢宁可醉，定不学丹砂。
黄颊山,隋,王绩,五言排律,别有青溪道，斜亘碧岩隈。崩榛横古蔓，荒石拥寒苔。野心长寂寞，山径本幽回。步步攀藤上，朝朝负药来。几看松叶秀，频值菊花开。无人堪作伴，岁晚独悠哉。
食后,隋,王绩,五言排律,田家无所有，晚食遂为常。菜剪三秋绿，飧炊百日黄。胡麻山麨样，楚豆野麋方。始暴松皮脯，新添杜若浆。葛花消酒毒，萸蒂发羹香。鼓腹聊乘兴，宁知逢世昌。
过汉故城,隋,王绩,五言排律,大汉昔未定，强秦犹擅场。中原逐鹿罢，高祖郁龙骧。经始谋帝坐，兹焉壮未央。规模穷栋宇，表里浚城隍。群后崇长乐，中朝增建章。钩陈被兰锜，乐府奏芝房。翡翠明珠帐，鸳鸯白玉堂。清晨宝鼎食，闲夜郁金香。天马来东道，佳人倾北方。何其赫隆盛，自谓保灵长。历数有时尽，哀平嗟不昌。冰坚成巨猾，火德遂颓纲。奥位匪虚校，贪天竟速亡。魂神吁社稷，豺虎斗岩廊。金狄移灞岸，铜盘向洛阳。君王无处所，年代几荒凉。宫阙谁家域，蓁芜罥我裳。井田唯有草，海水变为桑。在昔高门内，于今岐路傍。馀基不可识，古墓列成行。狐兔惊魍魉，鸱鸮吓獝狂。空城寒日晚，平野暮云黄。烈烈焚青棘，萧萧吹白杨。千秋并万岁，空使咏歌伤。
春旦直疏,隋,王绩,古风,春夜犹自长，高窗来月明。耿耿不能寐，振衣步前楹。怀抱暂无扰，自觉形神清。遐想太古事，俯察今世情。淳薄何不同，运数之所成。叹息万重隔，已闻晨鸡鸣。回看东南隅，□□□□□。谁知忘机者，寂泊存其精。
春园兴后,隋,王绩,古风,比日寻常醉，经年独未醒。回瞻后园柳，忽值数行青。定是春来意，低头更好听。歌莺辽乱动，莲叶绕池生。散腰追阮籍，招手唤刘伶。隔架窥前空，未馀几小瓶。风光须用却，留此待谁倾。
春日还庄,隋,王绩,古风,居人姓仲长，端坐悦年光。地形疑谷口，川势似河阳。傍山移草石，横渠种稻粱。滋兰依旧畹，接果著新行。自持茅作屋，无用杏为梁。蓬埋张仲径，藜破管宁床。浴蚕温织室，分蜂暖蜜房。竹密连阶暗，花飞满宅香。坐棠思邵伯，看柳忆嵇康。自得终焉趣，无论怀故乡。
寻苗道士山居,隋,王绩,古风,抱琴欲隐去，杖策访幽潜。青溪无限曲，丹障几重帘。水声全绕砌，树影半横檐。甑尘炊暂拂，炉香尽更添。短茅新缚荐，细藋始编檐。写咒桃为板，题经竹作签。紫文千岁蝠，丹书五月蟾。三山今近远，飞路幸相兼。
端坐咏思,隋,王绩,古风,张衡赋《四愁》，梁鸿歌《五噫》。慷慨□□□，憔悴将焉如？纷吾独无闷，高卧喜閒居。世途何足数，人事本来虚。三王无定策，五帝有残书。咄嗟建城市，倏忽观丘墟。明治若不足，昏暴常有馀。寄言忘怀者，归来任卷舒。
晚秋夜坐,隋,王绩,古风,园亭物候奇，舒啸乐无为。芰荷高出岸，杨柳下敧池。蝉噪黏远举，鱼惊钩暂移。萧萧怀抱足，何藉世人知？
围棋,隋,王绩,古风,饱食端居暇，披襟弈思专。雕盘蜃胫饰，帖局象牙缘。裂地四维举，分麾两阵前。攒眉思上策，屈指计中权。劲卒衡围度，奇军略地旋。鱼鳞张九拒，鹤翅拥三边。逐征何待应，争锋岂厌先。双关防易断，只眼畏难全。将骄多受辱，敌耻屡摧坚。骤睹成为败，频看绝更连。许知愁越复，恤弱贵邢迁。诽俗韦弘嗣，邀名葛稚川。分阴虽可重，小道讵宜捐？相公摧屐日，樵客烂柯年。唐尧犹不弃，孔父尚称贤。博术存书录，壶经著礼篇。寄言陆士衡，无嗤王仲宣。
被举应徵别乡中故人,隋,王绩,古风,皇明照区域，帝思属风云。烧山出隐士，治道送征君。自惟逢艾影，叨名兰桂芬。使君留白璧，天子降玄纁。山鸡终失望，野鹿暂辞群。川气含丹日，乡烟间白云。停骖无以赠，握管遂成文。
阶前石行,隋,王绩,古风,上天布甘雨，万物咸均平。自顾微且贱，亦得蒙滋荣。
古意六首 其一 ,隋,王绩,古风,幽人在何所，紫岩有仙躅。月下横宝琴，此外将安欲。材抽峄山干，徽点昆丘玉。漆抱蛟龙唇，丝缠凤凰足。前弹广陵罢，后以明光续。百金买一声，千金传一曲。世无钟子期，谁知心所属。
古意六首 其二 ,隋,王绩,古风,竹生大夏溪，苍苍富奇质。绿叶吟风劲，翠茎犯霄密。霜霰封其柯，鹓鸾食其实。宁知轩辕后，更有伶伦出。刀斧俄见寻，根株坐相失。裁为十二管，吹作雄雌律。有用虽自伤，无心复招疾。不如山上草，离离保终吉。评注（点击查看或隐藏评注）
古意六首 其三 ,隋,王绩,古风,宝龟尺二寸，由来宅深水。浮游五湖内，宛转三江里。何不深复深，轻然至溱洧。溱洧源流狭，春秋不濡轨。渔人递往还，网罟相萦藟。一朝失运会，刳肠血流死。丰骨输庙堂，鲜腴籍笾簋。弃置谁怨尤，自我招此否。馀灵寄明卜，复来钦所履。
古意六首 其四 ,隋,王绩,古风,松生北岩下，由来人径绝。布叶捎云烟，插根拥岩穴。自言生得地，独负凌云洁。何时畏斤斧，几度经霜雪。风惊西北枝，雹陨东南节。不知岁月久，稍觉枝干折。藤萝上下碎，枝干纵横裂。行当糜烂尽，坐共灰尘灭。宁关匠石顾，岂为王孙折。盛衰自有时，圣贤未尝屑。寄言悠悠者，无为嗟大耋。
古意六首 其五 ,隋,王绩,古风,桂树何苍苍，秋来花更芳。自言岁寒性，不知露与霜。幽人重其德，徙植临前堂。连拳八九树，偃蹇二三行。枝枝自相纠，叶叶还相当。去来双鸿鹄，栖息两鸳鸯。荣荫诚不厚，斤斧亦勿伤。赤心许君时，此意那可忘。
古意六首 其六 ,隋,王绩,古风,彩凤欲将归，提罗出郊访。罗张大泽已，凤入重云飏。朝栖昆阆木，夕饮蓬壶涨。问凤那远飞，贤君坐相望。凤言荷深德，微禽安足尚。但使雏卵全，无令矰缴放。皇臣力牧举，帝乐箫韶畅。自有来巢时，明年阿阁上。
石竹咏,隋,王绩,古风,萋萋结绿枝，晔晔垂朱英。常恐零露降，不得全其生。叹息聊自思，此生岂我情。昔我未生时，谁者令我萌。弃置勿重陈，委化何足惊。评注（点击查看或隐藏评注）
田家三首 其三 ,隋,王绩,古风,平生唯酒乐，作性不能无。朝朝访乡里，夜夜遣人酤。家贫留客久，不暇道精粗。抽帘持益炬，拔箦更燃炉。恒闻饮不足，何见有残壶。
赠李徵君大寿,隋,王绩,古风,孔淳辞散骑，陆昶谢中郎。幅巾朝帝罢，杖策去官忙。附车还赵郡，乘船向武昌。九徵书未已，十辟誉弥彰。副君迎绮季，天子送严光。灞陵幽径近，磻溪隐路长。编蓬还作室，绩草更为裳。会稽置樵处，兰陵卖药行。看书惟道德，开教止农桑。别有幽怀侣，由来高让王。前年辞厚币，今岁返寒乡。有书横石架，无毡坐土床。兰英犹足酿，竹实本无粮。涧松寒转直，山菊秋自香。管宁存祭礼，王霸重朝章。去去相随去，披裘骄盛唐。
山中叙志,隋,王绩,古风,物外知何事，山中无所有。风鸣静夜琴，月照芳春酒。直置百年内，谁论千载后。张奉娉贤妻，老莱籍嘉偶。孟光傥未嫁，梁鸿正须妇。
赠梁公,隋,王绩,古风,我欲图世乐，斯乐难可常。位大招讥嫌，禄极生祸殃。圣莫若周公，忠岂踰霍光。成王已兴诮，宣帝如负芒。范蠡何智哉，单舟戒轻装。疏广岂不怀，策杖还故乡。朱门虽足悦，赤族亦可伤。履霜成坚冰，知足胜不祥。我今穷家子，自言此见长。功成皆能退，在昔谁灭亡。
薛记室收过庄见寻率题古意以赠,隋,王绩,古风,伊昔逢丧乱，历数闰当馀。豺狼塞衢路，桑梓成丘墟。余及尔皆亡，东西各异居。尔为背风鸟，我为涸辙鱼。逮承云雷后，欣逢天地初。东川聊下钓，南亩试挥锄。资税幸不及，伏腊常有储。散诞时须酒，萧条懒向书。朽木不可雕，短翮将焉摅。故人有深契，过我蓬蒿庐。曳裾出门迎，握手登前除。相看非旧颜，忽若形骸疏。追道宿昔事，切切心相于。忆我少年时，携手游东渠。梅李夹两岸，花枝何扶疏。同志亦不多，西庄有姚徐。尝爱陶渊明，酌醴焚枯鱼。尝学公孙弘，策杖牧群猪。追念甫如昨，奄忽成空虚。人生讵能几，岁岁常不舒。赖有北山僧，教我以真如。使我视听遣，自觉尘累祛。何事须筌蹄，今已得兔鱼。旧游傥多暇，同此释纷拿。
春日,隋,王绩,古风,前旦出园游，林华都未有。今朝下堂来，池冰开已久。雪被南轩梅，风催北庭柳。遥呼灶前妾，却报机中妇。年光恰恰来，满瓮营春酒。
采药,隋,王绩,古风,野情贪药饵，郊居倦蓬荜。青龙护道符，白犬游仙术。腰镰戊己月，负锸庚辛日。时时断嶂遮，往往孤峰出。行披葛仙经，坐检神农帙。龟蛇采二苓，赤白寻双朮。地冻根难尽，丛枯苗易失。从容肉作名，薯蓣膏成质。家丰松叶酒，器贮参花蜜。且复归去来，刀圭辅衰疾。
春桂问荅二首 其一 ,隋,王绩,古风,问春桂：桃李正芬华，年光随处满，何事独无花。
春桂问荅二首 其二 ,隋,王绩,古风,春桂荅：春华讵能久，风霜摇落时，独秀君知不。
北山,隋,王绩,古风,旧知山里绝氛埃，登高日暮心悠哉。子平一去何时返？仲叔长游遂不来。幽兰独夜清琴曲，桂树凌云浊酒杯。槁项同枯木，丹心等死灰。
灵龟并序,隋,王绩,四言诗,彼灵龟兮，潜伏平坻。文列八卦，色合四时。出游芳莲，入负神蓍。吐故吸新，何虑何思？赫赫王会，峨峨天府，谋猷所资，吉凶所聚。尔有前鉴，尔既馀将，尔有嘉识，尔既馀辅。爰施长网，载沈密罗，于沼于沚，于江于沱。既剔既剥，是钻是灼，姑取供用，焉知其佗。呜呼灵龟，孰谓尔哲？本缘末丧，命为才绝。山木自寇，膏火自灭。敢陈明辞，以告来裔。
郊园,隋,王绩,四言诗,汾川胜地，姑射名辰。月照山客，风吹俗人。琴声送冷，酒气迎春。闭门常乐，何须四邻。
句,隋,王绩,句,侧望卿相门，难入坚如石。
句,隋,王绩,句,琴曲唯留古，书多半是经。横裁桑节杖，直剪竹皮巾。鹤警琴亭夜，莺啼酒瓮春。颜回唯乐道，原宪岂伤贫。寄身千载下，聊游万物初。欲令无作有，翻觉实成虚。双关防易断，只眼畏难全。鱼鳞张九拒，鹤翅拥三边。
骢马,隋,王申礼,古风,善马金羁饰，蹑影复凌空。影入长城水，声随胡地风。鞚敛青门外，珂喧紫陌中。行行苦不倦，唯当御史骢。
赋得马援诗,隋,王申礼,古风,二帝已驰声，五溪还总兵。受诏金鞍动，论功铜马成。唯称聚米势，无惭意苡情。虽谢云台影，犹传千载名。
赋得岩穴无结构诗,隋,王申礼,古风,岩间无结构，谷处极幽寻。叶落秋巢迥，云生石路深。早梅香野径，清涧响丘琴。独有栖迟客，留连芳杜心。
赋得高柳鸣蝉诗,隋,王申礼,古风,园柳吟凉久，嘶蝉应序惊。露下緌恒湿，风高翅转轻。叶疏飞更迥，秋深响自清。何言枝里翳，遂入蔡琴声。
玩雪诗,隋,王衡,古风,寒庭浮暮雪，疑从千里来。皎洁随处满，流乱逐风回。璧台如始构，琼树似新栽。不待阳春节，谁持竞落梅。
宿郊外晓作诗,隋,王衡,古风,残星落檐外，馀月罢窗东。水白先分色，霞暗未成红。
七夕诗二首 其一 ,隋,王翙,古风,天河横欲晓，凤驾俨应飞。落月移妆镜，浮云动别衣。欢逐今宵尽，愁随还路归。犹将宿昔泪，更上去年机。
七夕诗二首 其二 ,隋,王翙,古风,终年恒弄杼，今夕始停梭。却镜看斜月，移车渡浅河。长裙动星佩，轻帐掩云罗。旧愁虽暂止，新愁还复多。
东海悬崖题诗,隋,王谟,古风,因巡来到此，瞩海看波流。自兹一度往，何日更回眸。
冬日宴于庶子宅各赋一字得趣,隋,令狐德棻,古风,高门聊命赏，群英于此遇。放旷山水情，留连文酒趣。夕烟起林兰，霜枝殒庭树。落景虽已倾，归轩幸能驻。
石城山,隋,史万岁,古风,石城门峻谁开辟，更鼓悟闻风落石。界天自岭胜金汤，镇压西南天半壁。
留诗 其一 ,隋,叶法善,古风,昔在禹馀天，还依太上家。忝以掌仙录，去来乘烟霞。暂下宛利城，渺然思金华。自此非久住，云上登香车。
留诗 其二 ,隋,叶法善,古风,适向人间世，时复济苍生。度人初行满，辅国亦功成。但念清微乐，谁忻下界荣。门人好住此，翛然云上征。
留诗 其三 ,隋,叶法善,古风,退仙时此地，去俗久为荣。今日登云天，归真游上清。泥丸空示世，腾举不为名。为报学仙者，知余朝玉京。
白龟城,隋,左匡政,五言律诗,城堞千寻险，池隍十里馀。楼台侵汉宇，鼓角动郊墟。罴虎三军拥，壶浆万户舒。急须修表进，天意欲何如？
刘生,隋,弘执恭,古风,英名振关右，雄气逸江东。游侠五都内，去来三秦中。剑照七星影，马控千金骢。纵横方未息，因兹定武功。
奉和出颍至淮应令诗,隋,弘执恭,古风,睿情欣逸赏，临泛入淮淝。棹声喧岸度，帆影出云飞。清流含日彩，奔浪荡霞晖。还如漳水曲，鸣笳启路归。
和平凉公观赵郡王妓诗,隋,弘执恭,古风,小堂罗荐陈，妙妓命燕秦。蛾眉疑假黛，红脸自含春。合舞俱回雪，分歌共落尘。齐竽不可厕，空愿上龙津。
入塞,隋,何妥,古风,桃林千里险，候骑乱纷纷。问此将何事，嫖姚封冠军。回旌引流电，归盖转行云。待任苍龙杰，方当论次勋。
奉敕于太常寺修正古乐诗,隋,何妥,古风,大乐遗钟鼓，至乐贵忘情。俗久淳和变，年深礼孝生。嶰谷调孤管，仑山学凤鸣。浮云成舞曲，白雪作歌名。闻诗六义辨，观漏八风平。肃穆皇威畅，沦涟河水清。钧天动丝竹，括地响錞钲。尽美兼韶濩，盛德总咸英。寥亮凫钟彻，飘扬翟羽轻。小臣属千载，时幸预簪缨。行欣负苍璧，衢坛听九成。
乐部曹观乐诗,隋,何妥,古风,东海馀风大，陶唐遗思深。何如观遍舞，奏鼓间摐金。清管调丝竹，朱弦韵雅琴。八行陈树羽，六德审知音。至道兼韶濩，充庭总韎任。高天度流火，落日广城阴。百神谐景福，万国仰君临。大乐非钟鼓，且用戒民心。
长安道,隋,何妥,乐府曲辞,长安狭斜路，纵横四达分。车轮鸣凤辖，箭服耀鱼文。五陵多任侠，轻骑自连群。少年皆重气，谁识故将军。
奉述飞白书势,隋,岑文本,五言律诗,六文开玉篆，八体曜银书。飞毫列锦绣，拂素起龙鱼。凤举崩云绝，鸾惊游雾疏。别有临池草，恩沾垂露馀。
冬日宴于庶子宅各赋一字得平,隋,岑文本,五言律诗,金兰笃惠好，尊酒畅生平。既欣投辖赏，暂缓望乡情。爱景含霜晦，落照带风轻。于兹欢宴洽，宠辱讵相惊。
奉和正日临朝,隋,岑文本,五言排律,时雍表昌运，日正叶灵符。德兼三代礼，功包四海图。踰沙纷在列，执玉俨相趋。清跸喧辇道，张乐骇天衢。拂蜺九旗映，仪凤八音殊。佳气浮仙掌，熏风绕帝梧。天文光七政，皇恩被九区。方陪瘗玉礼，珥笔岱山隅。
安德山池宴集,隋,岑文本,五言排律,甲第多清赏，芳辰命羽卮。书帷通竹径，琴台枕槿篱。池疑夜壑徙，山似郁洲移。雕楹网萝薜，激濑合埙篪。鸟戏翻新叶，鱼跃动清漪。自得淹留趣，宁劳攀桂枝。
五言春日侍宴望海应诏,隋,岑文本,古风,五材□水流，千流会谷王。委输绵厚载，朝宗极大荒。浮天纳星汉，浴日吐扶桑。奔涛疑迭岛，惊浪似浮航。云撤青丘见，雾卷碧流长。金台焕霞景，银阙藻春光。九夷骄巨壑，五辂出辽阳。朝神泛弘舸，鞭石济飞梁。曜戈威海□，振楫落星芒。幸厕歌旅□，极望恧成章。
鸡鸣篇,隋,岑德润,古风,钟响应繁霜，晨鸡锦臆张。帘迥犹侵露，枝高已映光。排空下朝揭，奋翼上花扬。雨晦思君子，关开脱孟尝。既得依云外，安用集陈仓。
赋得临阶危石诗,隋,岑德润,古风,当阶耸危石，殊状实难名。带山疑似兽，侵波或类鲸。云峰临栋起，莲影入檐生。楚人终不识，徒自蕴连城。
咏灰诗,隋,岑德润,古风,图规晕不缺，气改律还虚。欲燃愁狱吏，弃道畏刑书。未得逢疆阵，轻举欲焉如。
咏鱼诗,隋,岑德润,古风,剑影侵波合，珠光带水新。莲东自可戏，安用上龙津。
相逢狭路间,隋,李德林,古风,天衢号九经，冠盖恒纵横。忽逢怀刺客，相寻欲逐名。我住河阳浦，开门望帝城。金台远犹出，玉观夜恒明。筵羞太官膳，酒酿步兵营。悬床接高十，隔帐授诸生。流水琴前韵，飞尘歌后轻。大子难为弟，中子难为兄。小子轻财利，实见陶朱情。龙轩照人转，骥马嘘天明。入门俱有说，至道胜金ぷ。出门会亲友，天官奏德星。大妇训端木，中妇训刘灵。小妇南山下，击缶和秦筝。群宾莫有戏，灯来告绝缨。
从驾巡游诗,隋,李德林,古风,大夏尧遗俗，汾河汉豫游。今随龙驾往，还属雁飞秋。天行肃辇路，日驭翼华辀。朝乘六气辩，夕动七星旒。谷静禽多思，风高松易秋。远林才有色，遥水漫无流。京华佳丽所，目极与云浮。但睹凌霄观，讵见望仙楼。锁门皆秀发，鸳池尽学优。待君草封禅，东山观射牛。
从驾还京诗,隋,李德林,古风,至仁文教远，惟圣武功宣。太师观六义，诸侯问百年。玄览时乘隙，训旅次山川。镇象屯休气，华盖翼飞烟。鼓奏千人响，旗动七星连。峻岭戈回日，高峰马煦天。姑射神游罢，萧关猎骑旋。更待东山上，看君巡狩篇。
夏日诗,隋,李德林,古风,夏景多烦蒸，山水暂追凉。桐枝覆玉槛，荷叶满银塘。轻扇摇明月，珍簟拂流黄。壶盛仙客酒，瓶贮帝台浆。才人下铜雀，侍妓出明光。歌声越齐市，舞曲冠平阳。微风动罗带，薄汗染红妆。共欣陪宴赏，千秋乐未央。
入山诗,隋,李德林,古风,登岭望重关，腰佩且鸣环。天河临易饮，月桂近将攀。王母西山至，夫人南岳还。何必阳台下，要待梦容颜。
咏松树诗,隋,李德林,古风,结根生上苑，擢秀迩华池。岁寒无改色，年长有倒枝。露自金盘洒，风从玉树吹。寄言谢霜雪，贞心自不移。
鸣雁行,隋,李孝贞,五言律诗,听琴旋蔡子，张罗避翟公。夕宿寒林上，朝飞空井中。既并玄云曲，复变海鱼风。一报黄花惠，还游万岁宫。
园中杂咏橘树诗,隋,李孝贞,五言律诗,嘉树出巫阴，分根徙上林。白华如散雪，朱实似悬金。布影临丹地，飞香度玉岑。自有凌冬质，能守岁寒心。
听百舌鸟诗,隋,李孝贞,五言排律,烟销上路静，漏尽禁门通。好鸟从西苑，流响入南宫。间关既多绪，变转复无穷。调惊时断绝，音繁有异同。饮啄归承露，飞鸣上别风。未避王孙弹，宁畏虎贲弓。石渠皆学府，麟阁悉文雄。不吝青泥印，时寻白社中。
咏鹊诗,隋,李孝贞,句,东立朝雨霁，南飞夜月明。
巫山高,隋,李孝贞,乐府曲辞,荆门对巫峡，云梦迩阳台。燎火如奔电，坠石似惊雷。天寒秋水急，风静夜猿哀。枕席无由荐，朝云徒去来。
奉和正日临朝应诏,隋,李百药,五言律诗,化历昭唐典，承天顺夏正。百灵警朝禁，三辰扬旆旌。充庭富礼乐，高宴齿簪缨。献寿符万岁，移风韵九成。
奉和初春出游应令,隋,李百药,五言律诗,鸣笳出望苑，飞盖下芝田。水光浮落照，霞彩淡轻烟。柳色迎三月，梅花隔二年。日斜归骑动，馀兴满山川。
寄杨公,隋,李百药,五言律诗,公子盛西京，光华早著名。分庭接游士，虚馆待时英。高阁浮香出，长廊宝钏鸣。面花无隔笑，歌扇不障声。
戏赠潘徐城门迎两新妇,隋,李百药,五言律诗,秦晋称旧匹，潘徐有世亲。三星宿已会，四德婉而嫔。霞光鬓里薄，月影扇中新。年华与妆面，共作一芳春。
送别,隋,李百药,五言律诗,眷言一杯酒，悽怆起离忧。夜花飘露气，暗水急还流。雁行遥上月，虫声迥映秋。明日河梁上，谁与论仙舟。
雨后,隋,李百药,五言律诗,晚来风景丽，晴初物色华。薄云向空尽，轻虹逐望斜。后窗临岸竹，前阶枕浦沙。寂寥无与晤，尊酒论风花。
文德皇后挽歌,隋,李百药,五言律诗,裴回两仪殿，怅望九成台。玉辇终辞宴，瑶筐遂不开。野旷阴风积，川长思鸟来。寒山寂已暮，虞殡有馀哀。
咏蝉,隋,李百药,五言绝句,清心自饮露，哀响乍吟风。未上华冠侧，先惊翳叶中。
咏萤火示情人,隋,李百药,五言绝句,窗里怜灯暗，阶前畏月明。不辞逢露湿，祗为重宵行。
春眺,隋,李百药,五言绝句,疲痾荷拙患，沦踬合幽襟。栖息在何处？丘中鸣素琴。
过杨玄感墓,隋,李百药,五言绝句,剑有万人敌，文为一代英。除昏志不遂，僭乱道难平。
笙歌 其一 ,隋,李百药,五言绝句,新声虽自知，旧宠会应移。无令枣下吹，便作一枯枝。
渡汉江,隋,李百药,五言排律,东流既瀰瀰，南纪信滔滔。水激沈碑岸，波骇弄珠皋。含星映浅石，浮盖下奔涛。溜阔霞光近，川长晓气高。樯乌转轻翼，戏鸟落风毛。客心既多绪，长歌且代劳。
途中述怀,隋,李百药,五言排律,伯喈迁塞北，亭伯之辽东。伊余何为客，独守云台中。途遥已日暮，时泰道斯穷。拔心悲岸草，半死落岩桐。目送衡阳雁，情伤江上枫。福兮良所伏，今也信难通。丈夫自有志，宁伤官不公。
王师渡汉水经襄阳,隋,李百药,五言排律,导漾疏源远，归海会流长。延波接荆梦，通望迩沮漳。高岸沈碑影，曲溆丽珠光。云昏翠岛没，水广素涛扬。阅川已多叹，遐睇几增伤。临溪犹驻马，望岘欲沾裳。乔木下寒叶，亭林落晓霜。山公不可遇，谁与访高阳。
安德山池宴集,隋,李百药,五言排律,朝宰论思暇，高宴临方塘。云飞凤台管，风动令君香。细草开金埒，流霞泛羽觞。虹桥分水态，镜石引菱光。上才同振藻，小技谬连章。怀音自兰室，徐步返山庄。
和许侍郎游昆明池,隋,李百药,五言排律,神池望不极，沧波接远天。仪星似河汉，落景类虞泉。年深平馆宇，道泰偃戈船。差池下凫雁，掩映生云烟。浪花开已合，风文直且连。税马金堤外，横舟石岸前。羽觞倾绿蚁，飞日落红鲜。积水浮深智，明珠曜雅篇。大鲸方远击，沈灰独未然。知君啸俦侣，短翮徒联翩。
赋得魏都,隋,李百药,五言排律,炎运精华歇，清都宝命开。帝里三方盛，王庭万国来。玄武疏遥磴，金凤上层台。乍进仙童药，时倾避暑杯。南馆招奇士，西园引上才。还惜刘公干，疲病清漳隈。
秋晚登古城,隋,李百药,古风,日落征途远，怅然临古城。颓墉寒雀集，荒堞晚乌惊。萧森灌木上，迢遰孤烟生。霞景焕馀照，露气澄晚清。秋风转摇落，此志安可平。
郢城怀古,隋,李百药,古风,客心悲暮序，登墉瞰平陆。林泽窅芊绵，山川郁重复。王公资设险，名都拒江隩。方城次北门，溟海穷南服。长策挫吴豕，雄图竞周鹿。万乘重沮漳，九鼎轻伊谷。大蒐云梦掩，壮观章华筑。人世更盛衰，吉凶良倚伏。遽见邻交断，仍睹贤臣逐。南风忽不竞，西师日侵蹙。运圯属驰驱，时屯恣敲朴。莫救夷陵火，无复秦庭哭。鄢郢遂丘墟，风尘俄惨黩。狐兔时游践，霜露日沾沐。钓渚故池平，神台层宇覆。阵云埋夏首，穷阴惨荒谷。怅矣舟壑迁，悲哉年祀倏。虽异三春望，终伤千里目。
晚渡江津,隋,李百药,古风,寂寂江山晚，苍苍原野暮。秋气怀易悲，长波淼难溯。索索风叶下，离离早鸿度。丘壑列夕阴，葭菼凝寒雾。日落亭皋远，独此怀归慕。评注（点击查看或隐藏评注）
