标题,朝代,作者,体裁,内容
和太尉戏赠高阳公,隋,上官仪,古风,薰炉御史出神仙，云鞍羽盖下芝田。红尘正起浮桥路，青楼遥敞御沟前。倾城比态芳菲节，绝世相娇是六年。惯是洛滨要解佩，本是河间好数钱。翠钗照耀衔云发，玉步逶迤动罗袜。石榴绞带轻花转，桃枝绿扇微风发。无情拂袂欲留宾，讵恨深潭不可越。天津一别九秋长，岂若随闻三日香。南国自然胜掌上，东家复是忆王昌。
五言辽东侍宴山夜临秋同赋临韵应诏,隋,上官仪,古风,奉驾凌稽阜，同御掩□岑。肆赏乖濡足，穷览□干心。一德光神武，万象镜冲襟。御□辽山夕，凝麾溟海浔。帷殿清炎气，辇道含秋阴。凄风移汉筑，流水入虞琴。云飞送断雁，月上净疏林。滴沥露枝响，空蒙烟壑深。抚躬谢仁智，泉石忝登临。信美陪仙跸，长歌慰陆沉。
五言春日侍宴望海应诏,隋,上官仪,古风,青丘横日域，碧海贯乾纲。奇怪储神府，朝宗擅谷王。灵官耀三岳，仙槎泛□□。蜃楼朝气上，鸡树早花芳。别岛春潮駃，连汀宿雾长。惊湍荡云色，沓浪倒霞光。宸行肃辽隧，降望临归塘。夹林朱鹭澈，分空翠凤翔。凭深体妫后，徒禦叶周王。游圣沾玄泽，讵假濯沧浪。
五言奉和行经破薛举战地应诏,隋,上官仪,古风,策星映霄极，飞鸿浃地区。鲔水腾周驾，涿鹿惊轩弧。荣河开秘篆，柳谷荐灵符。天游御长策，侮食被来苏。秋原怀八阵，武校烛三驱。投石堙旧垒，削树委荒途。□野惊宵磷，颓墉噪晚乌。毒泾晦凉雨，塞井蔽荒芜。冲情朗金镜，睿藻邃玄珠。□恩奉御什，抚己滥齐竽。
假作美人诗,隋,上官仪,古风,宋腊何须说，虞姬未足谈。颊态花翻愧，眉成月倒悬。
句,隋,上官仪,句,曙色随行漏，早吹入繁笳。旗文萦桂叶，骑影拂桃华。碧潭写春照，青山笼雪花。池牑风月清，閒居游客情。兰泛樽中色，松今弦上声。
冬日宴群公于宅各赋一字得杯,隋,于志宁,五言律诗,陋巷朱轩拥，衡门缇骑来。俱裁七步咏，同倾三雅杯。色动迎春柳，花发犯寒梅。宾筵未半醉，骊歌不用催。
四言曲池酺饮座铭,隋,于志宁,四言诗,泾抽冠筝，源开绶花。水随湾曲，树逐风斜。始攀幽桂，更折疏麻。再欢难遇，聊赏山家。
侍宴东宫应令诗,隋,于仲文,古风,铜楼充震位，银牖集嘉宾。青宫列绀幰，紫陌结朱轮。弦调宝瑟曲，歌动画梁尘。金卮倾斗酒，琼筵列八珍。花惊度翠羽，萍散跃赪鳞。承恩叨并作，扣寂绕阳春。
答谯王诗,隋,于仲文,古风,梧台开广宴，竹苑列英贤。景差方入楚，乐毅始游燕。折角挥谈柄，重席吐言泉。武骑初ゼ翰，文学正题鞭。玉徽调绿绮，璧散沈青田。晚霞澹远岫，落景藻长川。未陪东阁赏，独咏西园篇。
书屏风诗,隋,大义公主,古风,盛衰等朝露，世道若浮萍。荣华实难守，池台终自平。富贵今何在，空事写丹青。杯酒恒无乐，弦歌讵有声。余本皇家子，飘流入虏廷。一朝睹成败，怀抱忽纵横。古来共如此，非我独申名。惟有明君曲，偏伤远嫁情。
秋游昆明池诗,隋,元行恭,古风,旅客伤羁远，樽酒慰登临。池鲸隐旧石，岸菊聚新金。阵低云色近，行高雁影深。欹荷泻圆露，卧柳横清阴。衣共秋风冷，心学古灰沈。还似无人处，幽兰入雅琴。
过故宅诗,隋,元行恭,古风,颓城百战后，荒宅四邻通。将军树已折，步兵途转穷。吹台有山鸟，歌庭聒野虫。草深斜径没，水尽曲池空。林中满明月，是处来春风。唯馀一废井，尚夹两株桐。
和孔侍郎观太常新奏乐诗,隋,卞斌,古风,昔人梦上帝，尚喜颂钧天。况兹开景业，作乐武功宣。大雅废还理，乘风毁更悬。中和诚易拟，韶夏讵相沿。犍为磬响彻，嶰谷管声传。小臣滥清耳，长奉南风弦。
侍宴咏石榴,隋,孔绍安,五言绝句,可惜庭中树，移根逐汉臣。只为来时晚，花开不及春。评注（点击查看或隐藏评注）
咏夭桃,隋,孔绍安,五言绝句,结叶还临影，飞香欲遍空。不意馀花落，翻沈露井中。
落叶,隋,孔绍安,五言绝句,早秋惊落叶，飘零似客心。翻飞未肯下，犹言惜故林。
别徐永元秀才,隋,孔绍安,五言排律,金汤既失险，玉石乃同焚。坠叶还相覆，落羽更为群。岂谓三秋节，重伤千里分。远离弦易转，幽咽水难闻。欲识相思处，山川间白云。
赠蔡君,隋,孔绍安,古风,畴昔同幽谷，伊尔迁乔木。赫奕盛青紫，讨论穷简牍。
伤顾学士,隋,孔绍安,古风,迢遰双崤道，超忽三川湄。此中俱失路，思君不可思。游人行变橘，逝者遽焚芝。忆昔江湖上，同咏子衿诗。何言陵谷徙，翻惊邻笛悲。陈根非席卉，穗帐异书帷。与善成空说，歼良信在兹。今日严夫子，哀命不哀时。
结客少年场行,隋,孔绍安,乐府曲辞,结客佩吴钩，横行度陇头。雁在弓前落，云从阵后浮。吴师惊燧象，燕将警奔牛。转蓬飞不息，冰河结未流。若使三边定，当封万户侯。
赋得涉江采芙蓉,隋,孔德绍,五言律诗,莲舟泛锦碛，极目眺江干。沿流渡楫易，逆浪取花难。有雾疑川广，无风见水宽。朝来采摘倦，讵得久盘桓。
赋得华亭鹤,隋,孔德绍,五言律诗,华亭失侣鹤，乘轩宠遂终。三山凌苦雾，千里激悲风。心危白露下，声断綵弦中。何言斯物变，翻覆似辽东。
送蔡君知入蜀二首 其一 ,隋,孔德绍,五言绝句,金陵已去国，铜梁忽背飞。失路远相送，他乡何日归。
送蔡君知入蜀二首 其二 ,隋,孔德绍,五言绝句,灵关九折险，蜀道二星遥。乘槎若有便，希泛广陵潮。
南隐游泉山,隋,孔德绍,五言排律,名山狎招隐，俗外远相求。还如倒景望，忽似阆风游。临崖俯大壑，披雾仰飞流。岁积松方偃，年深椿欲秋。野花开石镜，云叶掩山楼。何须问方士，此处即瀛洲。
行经太华,隋,孔德绍,五言排律,纷吾世网暇，灵岳展幽寻。寥廓风尘远，杳冥川谷深。山昏五里雾，日落二华阴。疏峰起莲叶，危塞隐桃林。何必东都外，此处可抽簪。
王泽岭遭洪水,隋,孔德绍,五言排律,地籁风声急，天津云色愁。悠然万顷满，俄尔百川浮。还似金堤溢，翻如碧海流。惊涛遥起鹭，回岸不分牛。徒知怀赵景，终是倦阳侯。木梗诚无托，芦灰岂暇求。思得乘槎便，萧然河汉游。
登白马山护明寺,隋,孔德绍,五言排律,名岳标形胜，危峰远郁纡。成象建环极，大壮阐规模。层台耸灵鹫，高殿迩阳乌。暂同游阆苑，还类入仙都。三休开碧岭，万户洞金铺。摄心罄前礼，访道挹中虚。遥瞻尽地轴，长望极天隅。白云起梁栋，丹霞映栱栌。露花疑濯锦，泉月似沈珠。今日桃源客，相顾失归涂。
送舍利宿定普岩,隋,孔德绍,五言排律,仁祠表虚旷，祗园展肃恭。栖息翠微岭，登顿白云峰。映流看夜月，临峰听晓钟。涧芳十步草，崖阴百丈松。萧然遥路绝，无复市朝踪。
观太常奏新乐,隋,孔德绍,五言排律,大君膺宝历，出豫表功成。钧天金石响，洞庭弦管清。八音动繁会，九变叶希声。和云留睿赏，熏风悦圣情。盛烈光韶濩，易俗迈咸英。窃吹良无取，率舞抃群生。
夜宿荒村,隋,孔德绍,古风,绵绵夕漏深，客恨转伤心。抚弦无人听，对酒时独斟。故乡万里绝，穷愁百虑侵。秋草思边马，绕枝惊夜禽。风度谷馀响，月斜山半阴。劳歌欲叙意，终是白头吟。
句,隋,孔德绍,句,谁分菱花影，还看蓬鬓秋。
送晋熙公别诗,隋,尹式,古风,太行君失路，扶摇我退飞。无复红颜在，空持白首归。色移三代服，尘化两京衣。道穷方识命，事云乃知非。西候追孙楚，南津送陆机。云薄鳞逾细，山高翠转微。气随流水咽，泪逐断弦挥。但令寸心密，随意尺书稀。
别宋常侍诗,隋,尹式,古风,游人杜陵北，送客汉川东。无论去与住，俱是一飘蓬。秋鬓含霜白，衰颜倚酒红。别有相思处，啼乌杂夜风。
圜丘歌八首 其一 昭夏,隋,牛弘等奉诏作,古风,肃祭典，协良辰。具嘉荐，俟皇臻。礼方成，乐已变。感灵心，回天眷。辟华阙，下乾宫。乘精气，御祥风。望爟火，通田烛。膺介圭，受瑄玉。神之临，庆阴阴。烟衢洞，宸路深。善既福，德斯辅。流鸿祚，遍区寓。
圜丘歌八首 其八 昭夏,隋,牛弘等奉诏作,古风,享序洽，祀礼施。神之驾，严将驰。奔精驱，长离耀。牲烟达，絜诚照。腾日驭，鼓电鞭。辞下土，升上玄。瞻寥廓，杳无际。澹群心，留馀惠。
朝日夕月歌二首 其一 朝日諴夏,隋,牛弘等奉诏作,古风,扶木上朝暾，嵫山沈暮景。寒来游晷促，暑至驰辉永。时和合璧耀，俗泰重轮明。执圭尽昭事，服冕罄虔诚。
朝日夕月歌二首 其二 夕月諴夏,隋,牛弘等奉诏作,古风,澄辉烛地域，流耀镜天仪。历草随弦长，珠胎逐望亏。成形表蟾兔，窃药资王母。西郊礼既成，幽坛福惟厚。
方丘歌四首 其一 昭夏,隋,牛弘等奉诏作,古风,柔功畅，阴德昭。陈瘗典，盛玄郊。篚幂清，膋鬯馥。皇情虔，具寮肃。笙颂合，鼓鼗会。出桂旌，屯孔盖。敬如在，肃有承。神胥乐，庆福膺。
方丘歌四首 其四 昭夏,隋,牛弘等奉诏作,古风,奠既彻，献已周。竦灵驾，逝远游。洞四极，吊九县。庆方流，祉恒遍。埋玉气，掩牲芬。晰神理，显国文。
太庙乐歌九首 其九 送神歌,隋,牛弘等奉诏作,古风,飨礼具，利事成。伫旒冕，肃簪缨。金奏终，玉俎撤。尽孝敬，穷严絜。人只分，哀乐半。降景福，凭幽赞。
大射登歌,隋,牛弘等奉诏作,古风,道谧金科照，时乂玉条明。优贤飨礼洽，选德射仪成。銮旗郁云动，宝轪俨天行。巾车整三乏，司裘饰五正。鸣球响高殿，华钟震广庭。乌号传昔美，淇卫著前名。揖让皆时杰，升降尽朝英。附枝观体定，杯水睹心平。丰觚既来去，燔炙复纵横。欣看礼乐盛，喜遇黄河清。
圜丘歌八首 其二 皇夏,隋,牛弘等奉诏作,四言诗,于穆我后，昭明有融。道济区域，功格玄穹。百神警卫，万国承风。仁深德厚，信洽义丰。明发思政，勤忧在躬。鸿基惟永，福祚长隆。
圜丘歌八首 其三 登歌,隋,牛弘等奉诏作,四言诗,德深礼大，道高飨穆。就阳斯恭，陟配惟肃。血膋升气，冕裘标服。诚感清玄，信陈史祝。祗承灵贶，载膺多福。
圜丘歌八首 其四 諴夏,隋,牛弘等奉诏作,四言诗,肇禋崇祀，式奉尊灵。因高尽敬，扫地推诚。六宗随兆，五纬陪营。云和发韵，孤竹扬声。我粢既絜，我酌惟明。元神是鉴，百禄来成。
