标题,朝代,作者,体裁,内容
垓下歌,秦,项羽,古风,力拔山兮气盖世，时不利兮骓不逝。骓不逝兮可奈何，虞兮虞兮奈若何。
﻿和项王歌,秦,虞姬,古风,汉兵已略地，四方楚歌声。大王意气尽，贱妾何乐生。
﻿巴谣歌,秦,阙名,古风,神仙得者茅初成，驾龙上升入太清。时下玄洲戏赤城，继世而往在我盈，帝若学之腊嘉平。
﻿秦始皇时民歌,秦,无名氏,古风,生男慎勿举，生女哺用脯。不见长城下，尸骸相支拄。
﻿甘泉歌,秦,无名氏,古风,运石甘泉口，渭水不敢流。千人唱，万人讴，金陵馀石大如塸。
﻿秦世谣,秦,无名氏,古风,秦始皇，何彊梁。开吾户，据吾床。饮吾酒，唾吾浆。飧吾饭，以为粮。张吾弓，射东墙。前至沙丘当灭亡。
﻿三秦民谣,秦,无名氏,四言诗,武功太白，去天三百。孤云两角，去天一握。山水险阻，黄金子午。蛇盘鸟栊，势与天通。
﻿秦驻碑,秦,无名氏,四言诗,始皇承天，越受帝命。业超上世，歼周灭郑。七雄靡馀，六国是并。功齐太古，道深前王。埒炎均昊，美冠颛黄。通灵七代，敬构商堂。纵圣凝贤，将记百几。奄蔼馀辉，蜚声万祀。
﻿童谣,秦,无名氏,句,阿房阿房亡始皇。
